N,multiple,strategy,max_evaluations,swarm_size,mutation_p,distribution_index,crowding_distance_archive_n,c1_min,c1_max,c2_min,c2_max,r1_min,r1_max,r2_min,r2_max,min_weight,max_weight,change_velocity1,change_velocity2
1,2,1,30000,20,0.01,20,100,1.5,2.5,1.5,2.5,0,1,0,1,0.1,0.1,-1,-1
2,2,2,1000,20,0.01,20,100,1.5,2.5,1.5,2.5,0,1,0,1,0.1,0.1,-1,-1
